track_id,track_name,track_artist,lyrics,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,language
06UXtRLTF6kdMSM3uaVCCU,In Only Seven Days - Remastered 2011,Queen,"Monday Start of my holiday Freedom for just one week Feels good to get away Ooh, ooh Tuesday Saw her down on the beach I stood and watched a while And she looked and smiled at me Wednesday, I didn't see her I hoped that she'd be back tomorrow And then on Thursday My luck had changed She stood there all alone I went and asked her name I never thought that this could happen to me In only seven days It would take a hundred or more For memories to fade I wish Friday Would last forever I held her close to me I couldn't bear to leave her there Saturday Just twenty-four hours Oh no, I'm going back home on Sunday I'm so sad Alone",40,2yuTRGIackbcReLUXOYBqU,Jazz (2011 Remaster),1978-11-10,The Queen - La Discografia Completa,3E88dLx4fgFYY70gdGzdnB,rock,album rock,0.517,0.469,2.0,-7.148,1.0,0.0306,0.4270000000000001,1.96e-06,0.128,0.409,115.076,149253.0,en
02DurCgOvDdX0uKEjqcl3W,Who Are You,The Who,"Who are you? Who, who, who, who? Who are you? Who, who, who, who? Who are you? Who, who, who, who? Who are you? Who, who, who, who? I woke up in a Soho doorway A policeman knew my name He said ""You can go sleep at home tonight If you can get up and walk away""I staggered back to the underground And the breeze blew back my hair I remember throwing punches around And preaching from my chair Well, who are you? (Who are you? Who, who, who, who?) I really want to know (Who are you? Who, who, who, who?) Tell me who are you? (Who are you? Who, who, who, who?) Because I really want to know (Who are you? Who, who, who, who?) I took the tube back out of town Back to the Rolling Pin I felt a little like a dying clown With a streak of Rin Tin Tin I stretched back and I hiccupped And looked back on my busy day Eleven hours in the Tin Pan God, there's got to be another way Oh wa oh wa oh wa oh wa Well, who are you? (Who are you? Who, who, who, who?) Oh, who are you? (Who are you? Who, who, who, who?) Come on tell me who are you? (Who are you? Who, who, who, who?) Oh, who the fuck are you? (Who are you? Who, who, who, who?) Who are you? Ooh wa ooh wa ooh wa ooh wa ooh Ooh wa ooh wa ooh wa ooh wa ooh Ooh wa ooh wa ooh wa ooh wa ooh Ooh wa ooh wa ooh wa ooh wa ooh Ooh wa ooh wa ooh wa ooh wa ooh Ooh wa ooh wa ooh wa ooh wa ooh Who are you? Who, who, who, who? Who are you? Who, who, who, who? Who are you? Who, who, who, who? Who  are you? Who, who, who, who? I really want to know (Who are you? Who, who, who, who?) I really want to know (Who are you? Who, who, who, who?) Come on tell me who are you? (Who are you? Who, who, who, who?) Because I really want to know (Who are you? Who, who, who, who?) I know there's a place you walked Where love falls from the trees My heart is like a broken cup I only feel right on my knees I spit out like a sewer hole Yet still receive your kiss How can I measure up to anyone now After such a love as this? Well, who are you? (Who are you? Who, who, who, who?) Tell me whoa are you(Who are you? Who, who, who, who?) Oh, I really want to know (Who are you? Who, who, who, who?) Tell me, tell me, who are you? (Who are you? Who, who, who, who?) Come on, come on, who? (Who are you? Who, who, who, who?) Oh, who the fuck are you? (Who are you? Who, who, who, who?) Who are you? (Who are you? Who, who, who, who?) Oh, tell me who are you (Who are you? Who, who, who, who?) I really wanna know Oh, I really wanna know Come on tell me, who are you, you, you, you? Who are you?",12,2Qq60yedIbueTu5Sgn2bfL,Who Are You,1978-08-18,Classic Rock Drive,37i9dQZF1DXdOEFt9ZX0dh,rock,classic rock,0.653,0.631,9.0,-11.334,1.0,0.0461,0.299,0.00265,0.0627,0.516,156.32,381627.0,en
6H0AwSQ20mo62jGlPGB8S6,It's A Vibe,2 Chainz,"Yeah, hahaha Yeah, ooh M-M-M-Murda Yah That's a vibe (that's a vibe) She wanna vibe, yeah (wanna vibe) That's a vibe (that's a vibe) Yeah, uh (that's a vibe) That's a vibe (that's a vibe) It's a vibe (it's a vibe) That's a vibe, yeah (that's a vibe) Yeah, yeah (that's a vibe) Oh that's a vibe (that's a vibe) Oh it's a vibe (it's a vibe) That's a vibe (that's a vibe, that's a vibe, yeah, yeah) That's a vibe (that's a vibe) She wanna vibe, yeah (wanna vibe) That's a vibe, yeah Yeah, yeah Yeah, that's a vibe She wanna vibe That's a vibe This shit vibe, yeah, yeah Late night Oh it's a vibe Let me slide Oh it's a vibe, yeah, yeah Dim the lights Oh it's a vibe, yeah Get high It's a vibe, oh it's a vibe, yeah It's a vibe Don't you like? Your pussy drippin' Gushin', drippin' down your thighs It's a vibe Get high Diggin' deep while I'm lookin' in your eyes Vibe is the realest I know you feel it (yah) It's a vibe (vibe) Different vibe This my vibe, nigga All the bitches like it Okay, so I got the ambiance just where I want it (yeah) And if you get paid, it's solely based on your performance (TRU) My ego is enormous like my crib in California (hmm) If you ain't got no heart, man you gonna need a donor Now I said I'm from the corner of the ATL (yah) Where we got that clientele, avoid paper trails (right) Broke so many bales down that I'm shell shocked (bow) I held Glocks, sold rocks by the mailbox (ooh) Got a vibe, make a yellow chick turn her neck (alright) Got a vibe, make a cougar wanna spend a check (check) Got a vibe, make an Asian want hibachi (hibachi) Got a vibe, make Italian want Versace (Versace) Carbon copies get declined, I'm the pioneer Beat that pussy up, I need riot gear Any volunteers? Gas in a Ziploc, now that's loud and clear This one outta here, this is our year That's a vibe That's a vibe That's a vibe Oh that's a vibe, yeah, yeah That's a vibe It's a vibe It's a vibe That's a vibe, yeah, yeah It's a vibe Am I your type? Pussy tight Maybe I'll spend the night, yeah, yeah That's a vibe Bust it, bust it wide This the type of shit I like, yeah, yeah That's a vibe It's a vibe That's a vibe Oh it's a vibe, yeah, yeah It's a vibe, yeah, yeah, yeah Yeah, hahaha Yeah, ooh M-M-M-Murda Yah That's a vibe (that's a vibe) She wanna vibe, yeah (wanna vibe) That's a vibe (that's a vibe) Yeah, uh (that's a vibe) That's a vibe (that's a vibe) It's a vibe (it's a vibe) That's a vibe, yeah (that's a vibe) Yeah, yeah (that's a vibe) Oh that's a vibe (that's a vibe) Oh it's a vibe (it's a vibe) That's a vibe (that's a vibe, that's a vibe, yeah, yeah) That's a vibe (that's a vibe) She wanna vibe, yeah (wanna vibe) That's a vibe, yeah Yeah, yeah Yeah, that's a vibe She wanna vibe That's a vibe This shit vibe, yeah, yeah Late night Oh it's a vibe Let me slide Oh it's a vibe, yeah, yeah Dim the lights Oh it's a vibe, yeah Get high It's a vibe, oh it's a vibe, yeah It's a vibe Don't you like? Your pussy drippin' Gushin', drippin' down your thighs It's a vibe Get high Diggin' deep while I'm lookin' in your eyes Vibe is the realest I know you feel it (yah) It's a vibe (vibe) Different vibe This my vibe, nigga All the bitches like it Okay, so I got the ambiance just where I want it (yeah) And if you get paid, it's solely based on your performance (TRU) My ego is enormous like my crib in California (hmm) If you ain't got no heart, man you gonna need a donor Now I said I'm from the corner of the ATL (yah) Where we got that clientele, avoid paper trails (right) Broke so many bales down that I'm shell shocked (bow) I held Glocks, sold rocks by the mailbox (ooh) Got a vibe, make a yellow chick turn her neck (alright) Got a vibe, make a cougar wanna spend a check (check) Got a vibe, make an Asian want hibachi (hibachi) Got a vibe, make Italian want Versace (Versace) Carbon copies get declined, I'm the pioneer Beat that pussy up, I need riot gear Any volunteers? Gas in a Ziploc, now that's loud and clear This one outta here, this is our year That's a vibe That's a vibe That's a vibe Oh that's a vibe, yeah, yeah That's a vibe It's a vibe It's a vibe That's a vibe, yeah, yeah It's a vibe Am I your type? Pussy tight Maybe I'll spend the night, yeah, yeah That's a vibe Bust it, bust it wide This the type of shit I like, yeah, yeah That's a vibe It's a vibe That's a vibe Oh it's a vibe, yeah, yeah It's a vibe, yeah, yeah, yeah",74,5vvvo79z68vWj9yimoygfS,Pretty Girls Like Trap Music,2017-06-16,Hip Hop Controller,37i9dQZF1DWT5MrZnPU1zD,rap,hip hop,0.8220000000000001,0.505,7.0,-7.383999999999999,1.0,0.147,0.0317,0.000911,0.114,0.523,73.003,210200.0,en
5e0vgBWfwToyphURwynSXa,Run Away With Me,Carly Rae Jepsen,"You're stuck in my head Stuck on my heart Stuck in my body, body I wanna go Get outta here I'm sick of the party, party I'd run away I'd run away with you, ooh This is the part You gotta say All that you're feeling, feeling Packing a bag Leaving tonight While everyone's sleeping, sleeping Let's run away I'll run away with you, ooh 'Cause you make me feel like I could be driving you all night And I'll find your lips in the streetlights I wanna be there with you, ooh Baby, take me to the feeling I'll be your sinner in secret When the lights go out Run away with me, run away with me Baby, every single minute I'll be your hero and win it When the lights go out Run away with me, run away with me Up in the clouds High as a kite Over the city, city We never sleep We never try When you are with me, with me I wanna stay I wanna stay here with you, ooh 'Cause you make me feel like I could be driving you all night And I'll find your lips in the streetlights I wanna be there with you, ooh Baby, take me to the feeling I'll be your sinner in secret When the lights go out Run away with me, run away with me Baby, every single minute I'll be your hero and win it When the lights go out Run away with me, run away with me Hold on to me, I never wanna let you go, ooh Over the weekend, we could turn the world to gold, ooh Hold on to me, I never wanna let you go, ooh Over the weekend, we could turn the world to gold Ohh, ohh Oh my baby, take me to the feeling (Take me to, take me to it) I'll be your sinner, in secret (Oh, when the lights go) When the lights go out Run away with me (Just run away) Run away with me (With me) (Oh, yeah yeah) baby Every single minute I'll be your hero and win it When the lights go out Run away with me, run away with me Run away with me, run away with me Run away with me, run away with me",62,6UjZgFbK6CQptu8aOobzPV,Emotion,2015-08-21,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,49qyKvg6UAQAvIMUIGMnP3,pop,indie poptimism,0.564,0.7190000000000001,1.0,-5.505,1.0,0.0475,0.0126,0.000177,0.0536,0.251,119.023,251320.0,en
0HkcFsicQMIumVpNNde204,Mo Better,Raheem DeVaughn,"Even... even if I don't have much to my name And through the ups and downs it come with faith in my life You pat me on the back and rub away the pain cause your my baby, my darlin Priceless... You're priceless, no dollar amount can buy the friendship you bring You are the first lady worthy of a king... my queen The momment I set eyes on you I knew I would fall See life ain't so bad after all You make it better, better, better, better You make it better, You make it better, You make it better, You make it, You make it better You make it better, better, better, better You make it better, You make it better, You make it better, You make it better... I know your love gets more better, more better with time Like a rainbow cutting through to take out the clouds When you come around girl and make me smile It's a joy to hear you say things will work out some how Cause you're my baby, my darlin So promise, promise me and I'll promise you Promise and I'll make a vow to, to you girl Cause from the momment I set eyes on you I ken that fairy tales come true See life ain't so bad after all You make it better, better, better, better You make it better, You make it better, You make it better, You make it, You make it better You make it better, better, better, better You make it better, You make it better, You make it better, You make it better... I know your love gets more better, more better with time Now I Know I'm kind of young but I got an old soul So I'm a break it down for you for a momment And tell you how much I appretiate you When you whisper in my ear ""Baby It Will Be Okay"", You make it better Rub My body after a hards days work, You make it better Wakin up to you in the morning, You make it better Late in the midnight hour, You make it better Now I can be the riches man on earth and not have much at all But we got something priceless See life ain't so bad after all You make it better, better, better, better You make it better, You make it better, You make it better, You make it, You make it better You make it better, better, better, better You make it better, You make it better, You make it better, You make it better... I know your love gets more better, more better with time",5,3OclVn1K3sKF40dJ8KrSXu,Love Behind The Melody,2008-08-25,Neo Soul,2YPP7fiYu5pIcp2yyHvw4A,r&b,neo soul,0.383,0.358,1.0,-8.507,1.0,0.0324,0.584,0.0,0.0766,0.17800000000000002,119.026,459240.0,en
77ozYKcoGc9Cc6M9wRZH9d,De Pe a Pa,Granuja,"NA ¿No parecemos todos dementes a veces? Oh, oh...Granuja... Círculo vicioso, yo! Hay una gran diferencia entre nada y granada Son juegos de palabras de mi mente entrenada Hip hop es mi religión sagrada Por la que lucha mi mano ensangrentada y... Peleo como Russell Crowe enfrente de las gradas No me agrada y por eso agredo Pero no físicamente sino con mi credo, estrictamente laico Evitando el enredo  con los cables de mi micro La clavo con la lengua afuera como Michael No hay competición a no ser de que surja un milagro Y como soy ateo no creo en eso y sin embargo Puede que me añeje pero no vinagro, yo! Mi querido Watson, yo cabeceo como Jackson I got your back son, fuck fashion Satanás está en el Atanasio con las antenas atentas Bien despacio busca su objetivo en el espacio La primavera es un engaño, todo es ambiguo Sufro un daño que con hierbas amortiguo Soy testigo de la evolución del rap Estudiando el proceso de lo nuevo y de lo antiguo Hago lo que quiero y viceversa Rapeo de un modo que conversa Ser bueno es coger lo tuyo y hacerlo a la inversa Al punto en que llegaste, un bollo tiene más reversa Con mas clase que Zidane Muerdo la manzana por que quiero, no soy como Adán Algunos piden mucho pero nada dan Son molestos como cebo en el paladar Aquí se dice chimba, no madame Me adentro en este antro Estudio al ser humano como un antropólogo Este es mi monólogo en forma de cantos Me encuentro fumando cilantro y orégano Sazonando esta vida sin encanto Amo el rap desde que era un niño y escuchaba Coolio Lo estudio hasta lo más profundo como Julio Verne Mi ojo es el lente con que obturo, te lo juro Solo pienso en rimas de viernes a viernes Andando por la calles de Medallo De palo a palo, de polo a polo De pelo a pelo, de pe a pa Fumando pipa, escuchando hip hop Recorriendo la ciudad Andando por la calles de Medallo De palo a palo, de polo a polo De pelo a pelo, de pe a pa Fumando pipa, escuchando hip hop Recorriendo la ciudad, yo Odisea en la tierra y adiós ideas Odio el mundo, el ser humano es mierda en ciudades y en aldeas No sonrío solo soy un perro que jadea Analizando lo que lo rodea Mis versos no son epopeyas del típico héroe que rescata la doncella Resuelvo el caso y la investigación se sella Ya se que no hay que fiarse de miradas bellas Y que mientras más bulla, más peyes Rapeo con ahínco, la vida no da un brinco El tiempo viaja al doble después de los 25 Recuerdo a latín lingo Rap en español yo con eso reemplacé cada misa del domingo Viviendo en constante movimiento Soy un velero navegando a favor del viento A través del tiempo, casi siempre casi mienten Recuerdo mis cimientos, siempre fiel a mis conocimientos Más oscuros que Gravediggaz, eres bueno no me digas Influencia Sticky Fingaz, Fredo Starr El rap que no conocen sus amigas Si no sabes, no me sigas Insultos para el rap son malestar en mi barriga Ni consciencia, ni competencia, esa es la falencia Clasificar solo es cagar la esencia Migar en la primera etapa Donde el rappa' muestra todas sus falencias Pero la clave es la paciencia Nací en Apartadó, apartado He estado en Colombia y nunca he visto al estado Aún con tanto sol me siento desolado Veo rostros azulados por que no estoy de su lado Andando por la calles de Medallo De palo a palo, de polo a polo De pelo a pelo, de pe a pa Fumando pipa, escuchando hip hop Recorriendo la ciudad Andando por la calles de Medallo De palo a palo, de polo a polo De pelo a pelo, de pe a pa Fumando pipa, escuchando hip hop Recorriendo la ciudad, men",47,31HSq8pOXZCts7GqWXTRU1,Círculo Vicioso,2017-03-31,HIP-HOP: Latin Rap ['89-present],5fWgI0IJ1el5NB1sZ0Egsx,latin,latin hip hop,0.715,0.5579999999999999,10.0,-6.546,0.0,0.374,0.118,1.3e-05,0.236,0.611,172.01,263023.0,es
1RqpijoxxQJ9FWS1V56DeE,MARY JANE,Night Lovell,"Ayy Jane, Mary Jane, I don't like you, Mary Jane With the gang, OT Gang, forty deep, we sliding Nigga, what's the info? Ayy, ayy What's your info? Ayy, yeah My bitch sweet, candy cane, acting like you know my name It's a shame, how these niggas pillow talking Pussy nigga, what's the info? Ayy, ayy What's your info? Ayy, yeah I don't change, I'm like rain, sex your bitch inside a plane Then I came, put my kids inside your baby mama mouth And she a nympho, ayy, ayy All this shit's so simple, yeah, ayy, ayy You think that you got it, nigga, you can't take my dame I'm a duppy, all these niggas call me Devil Baby James You a snitch though, ayy And nigga, I could fuck your bitch too, ayy, ayy, ayy Mmh, fucking on your bitch raw, ayy See me with the money, now they wanna call, ayy Now they wanna listen to the shit I said I'm just tryna have you naked all up in my bed, ayy, ayy Put two shots inside my head Try to save me but you left my soul beside your leg, ayy Call me crazy, but you such a fan, ayy All I see is red until the day I'm dead, ayy (Sweet), ayy Jane, Mary Jane, I don't like you, Mary Jane With the gang, OT Gang, forty deep, we sliding Nigga, what's the info? Ayy, ayy What's your info? Ayy, yeah My bitch sweet, candy cane, acting like you know my name It's a shame, how these niggas pillow talking Pussy nigga, what's the info? Ayy, ayy What's your info? Ayy, yeah (Sweet)",62,4sA7IyvdIFpeOPBftpjetk,GOODNIGHT LOVELL,2019-02-22,Gangsta Rap 💎 Rap Party,0BwUQpqHSlC2YfKwOp2dQV,rap,gangster rap,0.6990000000000001,0.489,1.0,-9.461,0.0,0.0388,0.365,4.2e-05,0.132,0.0739,134.017,214925.0,en
2rbsEUWhJoC1fwTFihoOWI,Turn to Stone,Electric Light Orchestra,"The city streets are empty now (The lights don't shine no more) And so the songs are way down low (Turning, turning, turning) A sound that flows into my mind (The echoes of the daylight) Of everything that is alive(In my blue world) I turn to stone When you are gone I turn to stone Turn to stone When you comin' home? I can't go on The dying embers of the night (A fire that slowly fades till dawn) Still glow upon the wall so bright (Turning, turning, turning) The tired streets that hide away (From here to everywhere they go) Roll past my door into the day In my blue world I turn to stone When you are gone I turn to stone Turn to stone When you comin' home? I can't go on Turn to stone When you are gone I turn to stone (Yes, I'm turnin' to stone) ('Cause you ain't comin' home) (Why ain't you comin' home) (If I'm turnin' to stone) (You've been gone for so long) (And I can't carry on) (Yes, I'm turnin', I'm turnin') (I'm turnin' to stone) The dancing shadows on the wall (The two step in the hall) Are all I've seen since you've been gone (Turning, turning, turning) Through all I sit here and I wait (I turn to stone, I turn to stone) You will return again someday To my blue world I turn to stone When you are gone I turn to stone Turn to stone When you comin' home? I can't go on Turn to stone When you are gone I turn to stone I turn to stone When you are gone I turn to stone Turn to stone When you comin' home? I can't go on Turn to stone When You Are Gone I Turn To Stone",1,2qd7QaBMaK15aNWo7mdWMH,Out Of The Blue,1977,70's Classic Rock,76lrxCrKrGDkDDf3SVPnl3,rock,classic rock,0.5479999999999999,0.72,1.0,-9.777,0.0,0.0409,0.0686,0.000232,0.107,0.458,140.966,229093.0,en
