id,track_name,track_artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,similarity_score
06UXtRLTF6kdMSM3uaVCCU,In Only Seven Days - Remastered 2011,Queen,0.0627127241785574,0.06232000261814373,0.0,1,0.05873314569969891,0.06197637125278177,0.05848280174106558,0.05953004319937164,0.061829100667626646,0.9999999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0.9999998330806036
02DurCgOvDdX0uKEjqcl3W,Who Are You,The Who,0.0714984432223508,0.07136722058525297,0.0,1,0.06787848783804741,0.06938695169814023,0.0676193231297792,0.06797750128240306,0.07068128407315066,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0.999999818071478
6H4EbYO8f2Tc0ijzJ0tqZm,Summer Of '69,Bryan Adams,0.037375894913343866,0.03995714156502864,0.0,1,0.03415107598327408,0.033965309714810515,0.033862338150268914,0.034683327651343854,0.03885785053816558,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0.9999998164318269
5e0vgBWfwToyphURwynSXa,Run Away With Me,Carly Rae Jepsen,0.04873602723885391,0.04998072722600539,0.0,1,0.044588365668765256,0.04430810741359373,0.04420834671720416,0.044637350636001535,0.046222536297057686,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0.9999998073228423
0HkcFsicQMIumVpNNde204,Mo Better,Raheem DeVaughn,0.06970744826829135,0.06951142057349863,0.0,1,0.06695835587651824,0.07128351093442482,0.06670430398406688,0.06730493284091177,0.06810002117099105,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0.9999997958739055
77sL9aTrzWzv7uyTgMZYb3,For All My Ladies,Trick Daddy,0.053945323214775534,0.05327481637255799,0.0,0,0.048375544786809305,0.047782755783121515,0.047400279174667034,0.04865746243637804,0.05292432415958063,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0.9999997892832517
1RqpijoxxQJ9FWS1V56DeE,MARY JANE,Night Lovell,0.0708122499616666,0.06934861093686838,0.0,0,0.06621084765608665,0.06848436694127323,0.06594071564978603,0.06686042459471139,0.06645548446451721,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0.9999997705189594
2rbsEUWhJoC1fwTFihoOWI,Turn to Stone,Electric Light Orchestra,0.06849405942564497,0.06963507426547169,0.0,0,0.06513005579031862,0.06531381224998839,0.06486027211877168,0.06556855044678692,0.06789701677689843,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0.999999741389859
3neBAEV5Tkp4BrKv85xysR,Don't Worry (feat. Ray Dalton) - Matoma Remix,Madcon,0.04386932275901984,0.04441680940425632,0.0,1,0.038202835980822324,0.03766974041311778,0.037663061076045896,0.03904361904314977,0.04164026998912848,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0.9999996709438296
7d1eEz2jOjE7wPIn5LLRmc,Like A Rolling Stone - Edit,The Rolling Stones,0.04507074073028155,0.04939143204089124,0.0,1,0.04126966196944452,0.04094113881750491,0.04081661818832189,0.043705816460045364,0.04565436352169288,0.9999999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0.9999996579874377
5WSsTyBvMEFG3ac6JKb9gY,Wind of Change,Scorpions,0.07435500895991361,0.07585241917666986,0.0,1,0.06865503105285123,0.06839126592532588,0.06832854653018142,0.06964184893340207,0.07047647102143016,1.0000000000000002,1,0,0,0,0,0,0,0,0,0,0,0,0.9999996384819647
6iMoJ3UdrO2ZjzzcaN8Eom,Somebody,Sigala,0.04344312759735263,0.04511697706633832,0.0,1,0.037599084192704336,0.03785208557795906,0.0369497460366323,0.03811374480529476,0.04350084654455903,1.0000000000000002,1,0,0,0,0,0,0,0,0,0,0,0,0.9999996000658793
5he7AYCR3MGloRnuWEMroT,This Picture,Placebo,0.0470261774961937,0.04977653356907814,0.0,1,0.04441026963312215,0.044190399538333085,0.04447780069741172,0.04471968469132164,0.047971612396247726,0.9999999999999999,0,1,0,0,0,0,0,0,0,0,0,0,0.9999995985139347
2L6orAlH8tBhiFTumIfMyF,Call on Me - Ryan Riback Remix,Starley,0.04311696887983931,0.04465784332608756,0.0,1,0.03730383659393373,0.03752579588916711,0.036977418851865104,0.038430142439167564,0.04354804684992067,0.9999999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0.9999995936341055
7zxLkZbUxITHabPzGN8Xgc,Sick Feeling,boy pablo,0.05931032129267836,0.05975964190853199,0.0,1,0.0570716808572355,0.05701821739155165,0.056893111971835005,0.05895768992327425,0.05918519403256722,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0.9999995793374041
5lIat5pyge2yKkV20FlgQ7,Little Do You Know,Campsite Dream,0.06462999871096965,0.06521502017828282,0.0,1,0.058152125412737614,0.05853288514739567,0.057708897284112215,0.05964244281167268,0.061169447997540934,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0.9999995779285323
4DTLlMqz8grnPEQZL0DzfE,Summertime,Sam Cooke,0.09572649572649572,0.09332429684852592,0.0,0,0.09109755638389999,0.09640423208705146,0.09085442750103542,0.09183327685530328,0.09382883391693964,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0.9999995546645594
5bpaHLJ08GNBKW35ZfCYJy,Hello Sunshine,Bruce Springsteen,0.08315427589170604,0.08232549573331695,0.0,1,0.07920989624900238,0.08232549573331695,0.07930428510037447,0.08043771870587511,0.0810669777150224,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0.9999995455485535
63U6DJ2Q7alA97eUkFdwDv,Sucédeme,Jotdog,0.07344200350282018,0.07269730944796106,0.0,1,0.0693158468136748,0.07012535683256796,0.06911177912925959,0.06974404589521879,0.07099416656323694,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0.9999995314080709
1vZEnDUseI4y5aAyTHwOdc,I Need Your Help,Deitrick Haddon,0.04666293071634571,0.047011467545070615,0.0,1,0.0434557084865301,0.04395664475212883,0.04327330822956961,0.04427101130352776,0.04476989735248693,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0.9999995266938028
5SDmwAmdAtDG9kyGniVBKN,Seigfried,Frank Ocean,0.06299801893022232,0.06278890600924499,0.0,0,0.061614571868809156,0.06675104556460489,0.06138701298701298,0.06194144838212635,0.06338322694254897,0.9999999999999999,0,0,0,0,1,0,0,0,0,0,0,0,0.9999995164999669
4eucKRPayKSzwxaOOGfhye,Overexposed,Matt and Kim,0.06383796348367261,0.06586248266036815,0.0,1,0.058411127357252644,0.05804568290031117,0.05803622652120121,0.06101675851985153,0.06150414276609305,0.9999999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0.9999995111860295
1SN1vSPsr4V4tIUTR3s8YW,Fast Car,Jonas Blue,0.06048969029411278,0.05971003433803893,0.0,1,0.05538792030920825,0.05880596519748521,0.05491597962941461,0.0575037738665959,0.05946120796907919,1.0000000000000002,0,0,0,0,0,0,0,0,0,1,0,0,0.9999994947273283
1fQaoh3imrMunWVZh5kf90,Shepherd of Fire,Avenged Sevenfold,0.06085744624369525,0.06329085921599858,0.0,1,0.05703108869421585,0.056612482671150044,0.05706279680264283,0.05727959177653895,0.05816594401675368,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0.9999994821806637
77CCfbJgFZvKYpL2GY6XN9,Can You Hear Me,Korn,0.037829742004058364,0.04071246819338422,0.0,1,0.0336232164138242,0.033266628015589265,0.033453312719425386,0.03476181273553,0.03694398814700293,0.9999999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0.9999994344716668
3UNuVVGosJLfLCsWHEhr5U,Sorry,Aquilo,0.0613951861255254,0.06126267471629307,0.0,1,0.05997466381855477,0.06336165543853325,0.05969904008735152,0.06038279895899037,0.060605418126500686,0.9999999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0.9999994189221216
2qIOlORAibicgvcVBv992k,Still Swingin',Papa Roach,0.04735820751730687,0.04954651178794093,0.0,1,0.04382939484441019,0.043436642398051166,0.04343680067163049,0.044385416810030415,0.048108286654096534,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0.9999994078389955
5KcZcZOfq0Kwpa6fhiaGZu,Wild Side,Cross My Heart Hope To Die,0.0292374040729111,0.031888835324621174,0.0,1,0.026849813031752025,0.0264748342041146,0.02641662076064155,0.027934489452906146,0.028768354809709316,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0.999999403725039
6y67LQI1ClG9nJlvpEuqUt,Find Our Way,Midnight Kids,0.049629439054550896,0.05029337803855827,0.0,1,0.045435004523084334,0.047479936593827037,0.04518934709900161,0.04599105342219051,0.04831815956113634,1.0000000000000002,0,0,0,0,0,0,0,0,0,0,0,1,0.9999994010085519
3t0J8vI9StQD8KIBkT2Cp5,Tired - Kygo Remix,Alan Walker,0.06082871413778401,0.0619099104586709,0.0,1,0.0567963087043918,0.05647347261984529,0.05627550709630262,0.05695696534080527,0.0588795151367485,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0.9999993865791273
